date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:16	146/146	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2015:56:08%20GMT	https://web.archive.org/robots.txt		(from )
10:57:19	15042/15042	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20May%202025%2015:56:10%20GMT	https://web.archive.org/web/20010723055946/http://www.summittfamilyquarterly.org/	C:/My%20Web%20Sites/SummittFamilyQuarterly_01/web.archive.org/web/20010723055946/http_/www.summittfamilyquarterly.org/index.html	(from )
10:57:20	24310/24310	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2028%20Apr%202025%2020:43:09%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=zC7xTh84	C:/My%20Web%20Sites/SummittFamilyQuarterly_01/web-static.archive.org/_static/js/bundle-playback5c82.js	(from https://web.archive.org/web/20010723055946/http://www.summittfamilyquarterly.org/)
10:57:20	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2028%20Apr%202025%2020:43:09%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/My%20Web%20Sites/SummittFamilyQuarterly_01/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20010723055946/http://www.summittfamilyquarterly.org/)
10:57:20	344533/344533	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2028%20Apr%202025%2020:43:38%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/My%20Web%20Sites/SummittFamilyQuarterly_01/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20010723055946/http://www.summittfamilyquarterly.org/)
10:57:21	9868/9868	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Apr%202025%2020:43:38%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=p7PEIJWi	C:/My%20Web%20Sites/SummittFamilyQuarterly_01/web-static.archive.org/_static/css/banner-styles3ae1.css	(from https://web.archive.org/web/20010723055946/http://www.summittfamilyquarterly.org/)
10:57:21	5649/5649	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Apr%202025%2020:42:57%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=3PDvdIFv	C:/My%20Web%20Sites/SummittFamilyQuarterly_01/web-static.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20010723055946/http://www.summittfamilyquarterly.org/)
10:57:22	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2015:56:15%20GMT	https://web.archive.org/web/20010723055946im_/http://www.summittfamilyquarterly.org/_themes/tmres/researchbg.gif	C:/My%20Web%20Sites/SummittFamilyQuarterly_01/web.archive.org/web/20010723055946im_/http_/www.summittfamilyquarterly.org/_themes/tmres/researchbg.gif	(from https://web.archive.org/web/20010723055946/http://www.summittfamilyquarterly.org/)
10:57:24	6078/6078	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20May%202025%2015:56:16%20GMT	https://web.archive.org/web/20131210130953im_/http://summittfamilyquarterly.org/_themes/tmres/researchbg.gif	C:/My%20Web%20Sites/SummittFamilyQuarterly_01/web.archive.org/web/20131210130953im_/http_/summittfamilyquarterly.org/_themes/tmres/researchbg.gif	(from https://web.archive.org/web/20010723055946/http://www.summittfamilyquarterly.org/)
10:57:25	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2015:56:17%20GMT	https://web.archive.org/web/20010723055946im_/http://www.summittfamilyquarterly.org/_derived/index.html_cmp_tmres110_bnr.gif	C:/My%20Web%20Sites/SummittFamilyQuarterly_01/web.archive.org/web/20010723055946im_/http_/www.summittfamilyquarterly.org/_derived/index.html_cmp_tmres110_bnr.gif	(from https://web.archive.org/web/20010723055946/http://www.summittfamilyquarterly.org/)
10:57:26	20656/20656	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20May%202025%2015:56:19%20GMT	https://web.archive.org/web/20010813194053im_/http://summittfamilyquarterly.org/_derived/index.html_cmp_tmres110_bnr.gif	C:/My%20Web%20Sites/SummittFamilyQuarterly_01/web.archive.org/web/20010813194053im_/http_/summittfamilyquarterly.org/_derived/index.html_cmp_tmres110_bnr.gif	(from https://web.archive.org/web/20010723055946/http://www.summittfamilyquarterly.org/)
10:57:27	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2015:56:19%20GMT	https://web.archive.org/web/20010723055946/http://www.summittfamilyquarterly.org/_derived/whatsnew.htm_cmp_tmres110_vbtn.gif	C:/My%20Web%20Sites/SummittFamilyQuarterly_01/web.archive.org/web/20010723055946/http_/www.summittfamilyquarterly.org/_derived/whatsnew.htm_cmp_tmres110_vbtn.gif	(from https://web.archive.org/web/20010723055946/http://www.summittfamilyquarterly.org/)
